sender,subject,body,text,label,label_name
billing@service.com,Feedback on your presentation,The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.,"Subject: Feedback on your presentation

The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.",0,ham
support@paypa1-secure.ru,URGENT: Update your banking info,MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!,"Subject: URGENT: Update your banking info

MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!",1,spam
team@startup.io,Interview schedule,Your invoice #1042 for last month's services is attached. Please review and process at your earliest convenience.,"Subject: Interview schedule

Your invoice #1042 for last month's services is attached. Please review and process at your earliest convenience.",0,ham
hr@office.org,Lunch tomorrow?,Could you please review the attached document and send me your comments by Friday? Thanks!,"Subject: Lunch tomorrow?

Could you please review the attached document and send me your comments by Friday? Thanks!",0,ham
admin@free-money.net,FREE iPhone 15 - Claim Now!,AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!,"Subject: FREE iPhone 15 - Claim Now!

AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!",1,spam
admin@free-money.net,FINAL NOTICE: Payment required,Your account has been SUSPENDED due to suspicious activity. Click here immediately to verify your identity or your account will be PERMANENTLY DELETED: http://verify-account-now.xyz,"Subject: FINAL NOTICE: Payment required

Your account has been SUSPENDED due to suspicious activity. Click here immediately to verify your identity or your account will be PERMANENTLY DELETED: http://verify-account-now.xyz",1,spam
support@paypa1-secure.ru,Hot singles in your area,You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.,"Subject: Hot singles in your area

You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.",1,spam
support@paypa1-secure.ru,FINAL NOTICE: Payment required,Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net,"Subject: FINAL NOTICE: Payment required

Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net",1,spam
friend@gmail.com,Team standup notes,Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.,"Subject: Team standup notes

Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.",0,ham
offer@deals-today.biz,Nigerian Prince needs your help,"YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!","Subject: Nigerian Prince needs your help

YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!",1,spam
billing@service.com,Weekend plans,I'm forwarding you the email chain about the client request. Please get in touch with them directly.,"Subject: Weekend plans

I'm forwarding you the email chain about the client request. Please get in touch with them directly.",0,ham
friend@gmail.com,Your invoice is ready,"Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.","Subject: Your invoice is ready

Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.",0,ham
team@startup.io,Happy Birthday!,"Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.","Subject: Happy Birthday!

Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.",0,ham
hr@office.org,Welcome to the team,The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.,"Subject: Welcome to the team

The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.",0,ham
admin@free-money.net,Nigerian Prince needs your help,"YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!","Subject: Nigerian Prince needs your help

YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!",1,spam
noreply@verify-account.xyz,Work from home - $5000/week GUARANTEED,Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!,"Subject: Work from home - $5000/week GUARANTEED

Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!",1,spam
offer@deals-today.biz,Lose 30 pounds in 30 days,"SHOCKING weight loss secret doctors don't want you to know! Lose 30 pounds in 30 days with this one weird trick! 100% natural, no exercise needed! Order now and get 60% OFF!","Subject: Lose 30 pounds in 30 days

SHOCKING weight loss secret doctors don't want you to know! Lose 30 pounds in 30 days with this one weird trick! 100% natural, no exercise needed! Order now and get 60% OFF!",1,spam
billing@service.com,Happy Birthday!,The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.,"Subject: Happy Birthday!

The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.",0,ham
friend@gmail.com,Welcome to the team,"Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.","Subject: Welcome to the team

Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.",0,ham
admin@free-money.net,FREE iPhone 15 - Claim Now!,Congratulations on your selection for our VIP program! You qualify for a $1000 loan with no credit check! Instant approval! Reply with your SSN to confirm eligibility.,"Subject: FREE iPhone 15 - Claim Now!

Congratulations on your selection for our VIP program! You qualify for a $1000 loan with no credit check! Instant approval! Reply with your SSN to confirm eligibility.",1,spam
team@startup.io,Lunch tomorrow?,Your flight booking is confirmed. Flight AI-202 departs at 6:45 AM from Terminal 2. Check-in opens 3 hours before departure.,"Subject: Lunch tomorrow?

Your flight booking is confirmed. Flight AI-202 departs at 6:45 AM from Terminal 2. Check-in opens 3 hours before departure.",0,ham
admin@free-money.net,Your subscription expires today,MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!,"Subject: Your subscription expires today

MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!",1,spam
team@startup.io,Re: Project update,Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.,"Subject: Re: Project update

Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.",0,ham
info@lottery-winner.co,"YOU HAVE WON $1,000,000!!!",AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!,"Subject: YOU HAVE WON $1,000,000!!!

AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!",1,spam
john.doe@company.com,Happy Birthday!,"Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.","Subject: Happy Birthday!

Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.",0,ham
hr@office.org,Follow-up from our call,Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.,"Subject: Follow-up from our call

Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.",0,ham
team@startup.io,Question about the report,The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.,"Subject: Question about the report

The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.",0,ham
noreply@airline.com,Question about the report,Good news! Your order #ORD-5893 has shipped and will arrive by Thursday. Tracking number: TRK29384756.,"Subject: Question about the report

Good news! Your order #ORD-5893 has shipped and will arrive by Thursday. Tracking number: TRK29384756.",0,ham
team@startup.io,Question about the report,Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.,"Subject: Question about the report

Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.",0,ham
hr@office.org,Reminder: dentist appointment,The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.,"Subject: Reminder: dentist appointment

The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.",0,ham
support@paypa1-secure.ru,FINAL NOTICE: Payment required,"SHOCKING weight loss secret doctors don't want you to know! Lose 30 pounds in 30 days with this one weird trick! 100% natural, no exercise needed! Order now and get 60% OFF!","Subject: FINAL NOTICE: Payment required

SHOCKING weight loss secret doctors don't want you to know! Lose 30 pounds in 30 days with this one weird trick! 100% natural, no exercise needed! Order now and get 60% OFF!",1,spam
billing@service.com,Meeting at 3pm today,I'm forwarding you the email chain about the client request. Please get in touch with them directly.,"Subject: Meeting at 3pm today

I'm forwarding you the email chain about the client request. Please get in touch with them directly.",0,ham
info@lottery-winner.co,Limited time offer - Act NOW,"Dear Friend, I found your email on the internet and I need a trustworthy person to help me claim my late husband's inheritance of $12.5 million. I will give you 40% as your share.","Subject: Limited time offer - Act NOW

Dear Friend, I found your email on the internet and I need a trustworthy person to help me claim my late husband's inheritance of $12.5 million. I will give you 40% as your share.",1,spam
billing@service.com,Happy Birthday!,Welcome aboard! We're excited to have you on the team. Your onboarding schedule is attached.,"Subject: Happy Birthday!

Welcome aboard! We're excited to have you on the team. Your onboarding schedule is attached.",0,ham
billing@service.com,Your invoice is ready,Your invoice #1042 for last month's services is attached. Please review and process at your earliest convenience.,"Subject: Your invoice is ready

Your invoice #1042 for last month's services is attached. Please review and process at your earliest convenience.",0,ham
noreply@airline.com,Feedback on your presentation,Could you please review the attached document and send me your comments by Friday? Thanks!,"Subject: Feedback on your presentation

Could you please review the attached document and send me your comments by Friday? Thanks!",0,ham
admin@free-money.net,"YOU HAVE WON $1,000,000!!!",Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!,"Subject: YOU HAVE WON $1,000,000!!!

Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!",1,spam
support@paypa1-secure.ru,Limited time offer - Act NOW,Your account has been SUSPENDED due to suspicious activity. Click here immediately to verify your identity or your account will be PERMANENTLY DELETED: http://verify-account-now.xyz,"Subject: Limited time offer - Act NOW

Your account has been SUSPENDED due to suspicious activity. Click here immediately to verify your identity or your account will be PERMANENTLY DELETED: http://verify-account-now.xyz",1,spam
friend@gmail.com,Meeting at 3pm today,Are you free for lunch tomorrow around noon? I know a great Italian place near the office.,"Subject: Meeting at 3pm today

Are you free for lunch tomorrow around noon? I know a great Italian place near the office.",0,ham
hr@office.org,Weekend plans,"Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.","Subject: Weekend plans

Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.",0,ham
noreply@verify-account.xyz,Hot singles in your area,AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!,"Subject: Hot singles in your area

AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!",1,spam
noreply@airline.com,Feedback on your presentation,Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.,"Subject: Feedback on your presentation

Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.",0,ham
offer@deals-today.biz,Make money fast from home!,Congratulations on your selection for our VIP program! You qualify for a $1000 loan with no credit check! Instant approval! Reply with your SSN to confirm eligibility.,"Subject: Make money fast from home!

Congratulations on your selection for our VIP program! You qualify for a $1000 loan with no credit check! Instant approval! Reply with your SSN to confirm eligibility.",1,spam
billing@service.com,Team standup notes,"Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.","Subject: Team standup notes

Hi, just wanted to confirm our meeting scheduled for 3pm today in conference room B. Please bring the Q3 reports.",0,ham
friend@gmail.com,Happy Birthday!,Thank you for your application. We'd like to invite you for a technical interview next week.,"Subject: Happy Birthday!

Thank you for your application. We'd like to invite you for a technical interview next week.",0,ham
prize@winner-notify.com,Hot singles in your area,"EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!","Subject: Hot singles in your area

EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!",1,spam
billing@service.com,Feedback on your presentation,Good news! Your order #ORD-5893 has shipped and will arrive by Thursday. Tracking number: TRK29384756.,"Subject: Feedback on your presentation

Good news! Your order #ORD-5893 has shipped and will arrive by Thursday. Tracking number: TRK29384756.",0,ham
friend@gmail.com,Team standup notes,Are you free for lunch tomorrow around noon? I know a great Italian place near the office.,"Subject: Team standup notes

Are you free for lunch tomorrow around noon? I know a great Italian place near the office.",0,ham
noreply@verify-account.xyz,Lose 30 pounds in 30 days,"EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!","Subject: Lose 30 pounds in 30 days

EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!",1,spam
noreply@verify-account.xyz,Your subscription expires today,"Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: Your subscription expires today

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
prize@winner-notify.com,FINAL NOTICE: Payment required,"Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru","Subject: FINAL NOTICE: Payment required

Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru",1,spam
team@startup.io,Meeting at 3pm today,Are you free for lunch tomorrow around noon? I know a great Italian place near the office.,"Subject: Meeting at 3pm today

Are you free for lunch tomorrow around noon? I know a great Italian place near the office.",0,ham
noreply@airline.com,Reminder: dentist appointment,The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.,"Subject: Reminder: dentist appointment

The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.",0,ham
team@startup.io,Your order has shipped,Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.,"Subject: Your order has shipped

Following up on our project discussion from last week. The deadline has been moved to Friday. Let me know if that works for you.",0,ham
billing@service.com,Flight confirmation,Are you free for lunch tomorrow around noon? I know a great Italian place near the office.,"Subject: Flight confirmation

Are you free for lunch tomorrow around noon? I know a great Italian place near the office.",0,ham
john.doe@company.com,Meeting at 3pm today,I'm forwarding you the email chain about the client request. Please get in touch with them directly.,"Subject: Meeting at 3pm today

I'm forwarding you the email chain about the client request. Please get in touch with them directly.",0,ham
info@lottery-winner.co,Limited time offer - Act NOW,"EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!","Subject: Limited time offer - Act NOW

EARN BITCOIN FAST! Our automated trading bot guarantees 500% returns daily! Zero risk! Just deposit $100 to start and watch the money roll in! Join 50,000 satisfied members!",1,spam
info@lottery-winner.co,Lose 30 pounds in 30 days,"PHARMACY SPECIAL: Cheap meds without prescription! Viagra, Cialis, and more! Discreet delivery worldwide! Best prices on the internet! Order now get 70% discount!!!","Subject: Lose 30 pounds in 30 days

PHARMACY SPECIAL: Cheap meds without prescription! Viagra, Cialis, and more! Discreet delivery worldwide! Best prices on the internet! Order now get 70% discount!!!",1,spam
offer@deals-today.biz,Congratulations! You are selected,CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.,"Subject: Congratulations! You are selected

CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.",1,spam
friend@gmail.com,Team standup notes,Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.,"Subject: Team standup notes

Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.",0,ham
info@lottery-winner.co,Your subscription expires today,You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.,"Subject: Your subscription expires today

You have been selected from millions of participants to receive a special gift worth $500. Claim your prize now by providing your personal details to our representative.",1,spam
friend@gmail.com,Feedback on your presentation,Your flight booking is confirmed. Flight AI-202 departs at 6:45 AM from Terminal 2. Check-in opens 3 hours before departure.,"Subject: Feedback on your presentation

Your flight booking is confirmed. Flight AI-202 departs at 6:45 AM from Terminal 2. Check-in opens 3 hours before departure.",0,ham
prize@winner-notify.com,Click here to claim your prize,AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!,"Subject: Click here to claim your prize

AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!",1,spam
team@startup.io,Reminder: dentist appointment,"Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.","Subject: Reminder: dentist appointment

Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.",0,ham
friend@gmail.com,Follow-up from our call,"Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.","Subject: Follow-up from our call

Great talking to you earlier! As discussed, I'll send over the proposal by end of day Thursday.",0,ham
friend@gmail.com,Reminder: dentist appointment,The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.,"Subject: Reminder: dentist appointment

The server maintenance is scheduled for Sunday at 2 AM. Expected downtime is 2 hours. Please plan accordingly.",0,ham
billing@service.com,Flight confirmation,Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.,"Subject: Flight confirmation

Reminder: You have a dentist appointment tomorrow at 10:30 AM with Dr. Sharma. Please arrive 10 minutes early.",0,ham
prize@winner-notify.com,"YOU HAVE WON $1,000,000!!!",CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.,"Subject: YOU HAVE WON $1,000,000!!!

CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.",1,spam
billing@service.com,Lunch tomorrow?,Welcome aboard! We're excited to have you on the team. Your onboarding schedule is attached.,"Subject: Lunch tomorrow?

Welcome aboard! We're excited to have you on the team. Your onboarding schedule is attached.",0,ham
team@startup.io,Weekend plans,Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.,"Subject: Weekend plans

Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.",0,ham
billing@service.com,Lunch tomorrow?,"Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.","Subject: Lunch tomorrow?

Hey, are you guys doing anything this weekend? We're thinking of going hiking if the weather holds up.",0,ham
noreply@verify-account.xyz,Make money fast from home!,"YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!","Subject: Make money fast from home!

YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!",1,spam
support@paypa1-secure.ru,Lose 30 pounds in 30 days,URGENT BANK NOTICE: We have detected unauthorized access to your account. Verify your identity NOW by entering your card details at our secure portal.,"Subject: Lose 30 pounds in 30 days

URGENT BANK NOTICE: We have detected unauthorized access to your account. Verify your identity NOW by entering your card details at our secure portal.",1,spam
prize@winner-notify.com,FINAL NOTICE: Payment required,AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!,"Subject: FINAL NOTICE: Payment required

AMAZING LIMITED TIME OFFER! Buy one get three FREE! Today only! This deal expires in 2 hours! Click now! Don't miss out! Best price ever!!!",1,spam
noreply@verify-account.xyz,Congratulations! You are selected,"Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru","Subject: Congratulations! You are selected

Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru",1,spam
john.doe@company.com,Team standup notes,Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.,"Subject: Team standup notes

Your interview is scheduled for Monday at 2:00 PM. Please bring a copy of your resume and portfolio.",0,ham
john.doe@company.com,Weekend plans,Could you please review the attached document and send me your comments by Friday? Thanks!,"Subject: Weekend plans

Could you please review the attached document and send me your comments by Friday? Thanks!",0,ham
john.doe@company.com,Your order has shipped,Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.,"Subject: Your order has shipped

Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.",0,ham
noreply@verify-account.xyz,Hot singles in your area,Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!,"Subject: Hot singles in your area

Your computer has been INFECTED with a virus! Call our toll-free number 1-800-SCAM-NOW immediately! Microsoft certified technicians will fix it remotely for only $299!",1,spam
offer@deals-today.biz,FREE iPhone 15 - Claim Now!,Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net,"Subject: FREE iPhone 15 - Claim Now!

Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net",1,spam
offer@deals-today.biz,FREE iPhone 15 - Claim Now!,"Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru","Subject: FREE iPhone 15 - Claim Now!

Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru",1,spam
noreply@verify-account.xyz,"YOU HAVE WON $1,000,000!!!","Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: YOU HAVE WON $1,000,000!!!

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
offer@deals-today.biz,Lose 30 pounds in 30 days,MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!,"Subject: Lose 30 pounds in 30 days

MAKE $5000 A WEEK FROM HOME! No experience needed. Thousands already making money! Click here to start TODAY. Limited spots available!!!",1,spam
info@lottery-winner.co,Urgent: Your account needs verification,"SHOCKING weight loss secret doctors don't want you to know! Lose 30 pounds in 30 days with this one weird trick! 100% natural, no exercise needed! Order now and get 60% OFF!","Subject: Urgent: Your account needs verification

SHOCKING weight loss secret doctors don't want you to know! Lose 30 pounds in 30 days with this one weird trick! 100% natural, no exercise needed! Order now and get 60% OFF!",1,spam
hr@office.org,Lunch tomorrow?,Your flight booking is confirmed. Flight AI-202 departs at 6:45 AM from Terminal 2. Check-in opens 3 hours before departure.,"Subject: Lunch tomorrow?

Your flight booking is confirmed. Flight AI-202 departs at 6:45 AM from Terminal 2. Check-in opens 3 hours before departure.",0,ham
noreply@airline.com,Meeting at 3pm today,Are you free for lunch tomorrow around noon? I know a great Italian place near the office.,"Subject: Meeting at 3pm today

Are you free for lunch tomorrow around noon? I know a great Italian place near the office.",0,ham
billing@service.com,Happy Birthday!,Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.,"Subject: Happy Birthday!

Your presentation yesterday was excellent. The stakeholders were very impressed with the data visualization.",0,ham
admin@free-money.net,Congratulations! You are selected,"PHARMACY SPECIAL: Cheap meds without prescription! Viagra, Cialis, and more! Discreet delivery worldwide! Best prices on the internet! Order now get 70% discount!!!","Subject: Congratulations! You are selected

PHARMACY SPECIAL: Cheap meds without prescription! Viagra, Cialis, and more! Discreet delivery worldwide! Best prices on the internet! Order now get 70% discount!!!",1,spam
info@lottery-winner.co,Limited time offer - Act NOW,"CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!","Subject: Limited time offer - Act NOW

CONGRATULATIONS! You have been selected as our lucky winner for $1,000,000 USD lottery. Send your bank details immediately to claim your prize. ACT NOW before it expires!!!",1,spam
team@startup.io,Re: Project update,Your flight booking is confirmed. Flight AI-202 departs at 6:45 AM from Terminal 2. Check-in opens 3 hours before departure.,"Subject: Re: Project update

Your flight booking is confirmed. Flight AI-202 departs at 6:45 AM from Terminal 2. Check-in opens 3 hours before departure.",0,ham
noreply@airline.com,Team standup notes,The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.,"Subject: Team standup notes

The quarterly sales report shows a 12% increase over last quarter. Great work from everyone on the sales team.",0,ham
admin@free-money.net,Make money fast from home!,"Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!","Subject: Make money fast from home!

Are you tired of your 9-5 job? Make $10,000 per month working just 2 hours a day from home! Our proven system guarantees results! Click here to join THOUSANDS of success stories!",1,spam
friend@gmail.com,Happy Birthday!,Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.,"Subject: Happy Birthday!

Just wanted to wish you a very happy birthday! Hope you have a wonderful day with family and friends.",0,ham
offer@deals-today.biz,Work from home - $5000/week GUARANTEED,"YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!","Subject: Work from home - $5000/week GUARANTEED

YOU HAVE WON! Your email address was selected in our monthly draw. Click the link below to claim your $500 Amazon gift card. Hurry, link expires in 24 hours!",1,spam
offer@deals-today.biz,Your subscription expires today,CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.,"Subject: Your subscription expires today

CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.",1,spam
info@lottery-winner.co,Congratulations! You are selected,"Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru","Subject: Congratulations! You are selected

Dear Customer, Your PayPal account has been limited. You must update your information within 24 hours or your account will be suspended. Login here: http://paypal-secure-verify.ru",1,spam
friend@gmail.com,Your order has shipped,"Notes from today's standup: Alice is working on the API, Bob is fixing the login bug, Charlie will handle deployment.","Subject: Your order has shipped

Notes from today's standup: Alice is working on the API, Bob is fixing the login bug, Charlie will handle deployment.",0,ham
info@lottery-winner.co,FREE iPhone 15 - Claim Now!,CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.,"Subject: FREE iPhone 15 - Claim Now!

CONFIDENTIAL BUSINESS PROPOSAL: I am Prince Emmanuel Adeyemi of Nigeria. I have $45 million that I need to transfer out of the country. I need your help and will pay you 30% commission.",1,spam
prize@winner-notify.com,Nigerian Prince needs your help,Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net,"Subject: Nigerian Prince needs your help

Your Netflix subscription has EXPIRED. Your account will be DELETED unless you renew immediately. Click here to update payment: http://netflix-billing-update.net",1,spam
